DATE,RUSEPUINDXM
2013-11-01,77.41042
2013-12-01,206.56078
2014-01-01,255.24072
2014-02-01,162.45726
2014-03-01,123.98759
2014-04-01,254.08472
2014-05-01,370.50623
2014-06-01,143.52719
2014-07-01,153.22807
2014-08-01,246.01303
2014-09-01,284.68494
2014-10-01,161.58383
2014-11-01,315.32687
2014-12-01,321.74310
2015-01-01,345.45508
2015-02-01,298.55557
2015-03-01,239.86107
2015-04-01,222.46184
2015-05-01,124.70786
2015-06-01,161.08893
2015-07-01,62.65725
2015-08-01,180.08745
2015-09-01,315.69952
2015-10-01,174.17343
2015-11-01,155.72328
2015-12-01,195.30060
2016-01-01,55.09550
2016-02-01,190.36955
2016-03-01,183.25970
2016-04-01,135.03346
2016-05-01,73.06628
2016-06-01,249.32167
2016-07-01,97.64325
2016-08-01,313.06870
2016-09-01,237.50038
2016-10-01,113.41356
2016-11-01,233.34312
2016-12-01,323.78207
2017-01-01,400.01675
2017-02-01,227.87813
2017-03-01,291.41495
2017-04-01,143.63007
2017-05-01,139.03436
2017-06-01,107.03203
2017-07-01,181.05176
2017-08-01,149.64943
2017-09-01,101.00841
2017-10-01,274.81339
2017-11-01,250.45496
2017-12-01,320.66006
2018-01-01,72.88908
2018-02-01,206.45943
2018-03-01,87.84682
2018-04-01,332.26184
2018-05-01,217.15746
2018-06-01,69.94087
2018-07-01,120.50759
2018-08-01,212.81773
2018-09-01,289.82251
2018-10-01,247.70270
2018-11-01,337.34747
2018-12-01,175.41591
2019-01-01,334.68365
2019-02-01,125.48891
2019-03-01,203.07158
2019-04-01,223.45422
2019-05-01,256.25110
2019-06-01,308.56870
2019-07-01,317.88513
2019-08-01,185.52219
2019-09-01,326.32568
2019-10-01,373.73587
2019-11-01,431.24695
2019-12-01,323.16766
2020-01-01,346.33972
2020-02-01,283.86865
2020-03-01,793.63452
2020-04-01,693.56757
2020-05-01,680.48138
2020-06-01,743.92560
2020-07-01,483.33411
2020-08-01,223.62048
2020-09-01,392.87051
2020-10-01,306.67950
2020-11-01,502.58514
2020-12-01,437.84009
2021-01-01,503.00574
2021-02-01,417.90857
2021-03-01,375.68243
2021-04-01,282.94073
2021-05-01,354.10419
