DATE,LMUNRRTTRUM156N
1994-01-01,1.2
1994-02-01,1.3
1994-03-01,1.5
1994-04-01,1.6
1994-05-01,1.6
1994-06-01,1.7
1994-07-01,1.8
1994-08-01,1.9
1994-09-01,1.9
1994-10-01,2
1994-11-01,2.1
1994-12-01,2.2
1995-01-01,2.4
1995-02-01,2.5
1995-03-01,2.7
1995-04-01,2.7
1995-05-01,2.8
1995-06-01,2.8
1995-07-01,2.8
1995-08-01,2.9
1995-09-01,2.9
1995-10-01,3
1995-11-01,3.1
1995-12-01,3.2
1996-01-01,3.3
1996-02-01,3.5
1996-03-01,3.7
1996-04-01,3.8
1996-05-01,3.7
1996-06-01,3.6
1996-07-01,3.5
1996-08-01,3.5
1996-09-01,3.4
1996-10-01,3.4
1996-11-01,3.4
1996-12-01,3.4
1997-01-01,3.5
1997-02-01,3.5
1997-03-01,3.5
1997-04-01,3.5
1997-05-01,3.3
1997-06-01,3.2
1997-07-01,3.1
1997-08-01,3
1997-09-01,2.8
1997-10-01,2.8
1997-11-01,2.8
1997-12-01,2.8
1998-01-01,2.7
1998-02-01,2.7
1998-03-01,2.7
1998-04-01,2.7
1998-05-01,2.6
1998-06-01,2.5
1998-07-01,2.5
1998-08-01,2.4
1998-09-01,2.4
1998-10-01,2.5
1998-11-01,2.6
1998-12-01,2.6
1999-01-01,2.6
1999-02-01,2.7
1999-03-01,2.6
1999-04-01,2.5
1999-05-01,2.4
1999-06-01,2.2
1999-07-01,2
1999-08-01,1.9
1999-09-01,1.8
1999-10-01,1.8
1999-11-01,1.7
1999-12-01,1.7
2000-01-01,1.7
2000-02-01,1.7
2000-03-01,1.7
2000-04-01,1.6
2000-05-01,1.5
2000-06-01,1.4
2000-07-01,1.4
2000-08-01,1.4
2000-09-01,1.3
2000-10-01,1.3
2000-11-01,1.4
2000-12-01,1.4
2001-01-01,1.5
2001-02-01,1.5
2001-03-01,1.5
2001-04-01,1.5
2001-05-01,1.4
2001-06-01,1.4
2001-07-01,1.4
2001-08-01,1.4
2001-09-01,1.4
2001-10-01,1.4
2001-11-01,1.5
2001-12-01,1.6
2002-01-01,1.7
2002-02-01,1.9
2002-03-01,1.9
2002-04-01,1.9
2002-05-01,1.9
2002-06-01,1.8
2002-07-01,1.8
2002-08-01,1.8
2002-09-01,1.8
2002-10-01,1.9
2002-11-01,2
2002-12-01,2.1
2003-01-01,2.2
2003-02-01,2.3
2003-03-01,2.3
2003-04-01,2.3
2003-05-01,2.2
2003-06-01,2.1
2003-07-01,2.1
2003-08-01,2.1
2003-09-01,2.1
2003-10-01,2.1
2003-11-01,2.1
2003-12-01,2.2
2004-01-01,2.3
2004-02-01,2.3
2004-03-01,2.3
2004-04-01,2.2
2004-05-01,2.2
2004-06-01,2.1
2004-07-01,2.1
2004-08-01,2.2
2004-09-01,2.2
2004-10-01,2.3
2004-11-01,2.5
2004-12-01,2.6
2005-01-01,2.7
2005-02-01,2.8
2005-03-01,2.7
2005-04-01,2.7
2005-05-01,2.6
2005-06-01,2.5
2005-07-01,2.4
2005-08-01,2.4
2005-09-01,2.3
2005-10-01,2.3
2005-11-01,2.3
2005-12-01,2.5
2006-01-01,2.5
2006-02-01,2.6
2006-03-01,2.6
2006-04-01,2.5
2006-05-01,2.4
2006-06-01,2.3
2006-07-01,2.3
2006-08-01,2.3
2006-09-01,2.2
2006-10-01,2.2
2006-11-01,2.3
2006-12-01,2.3
2007-01-01,2.3
2007-02-01,2.3
2007-03-01,2.3
2007-04-01,2.2
2007-05-01,2.1
2007-06-01,2
2007-07-01,2
2007-08-01,2
2007-09-01,2
2007-10-01,2
2007-11-01,2
2007-12-01,2
2008-01-01,2.1
2008-02-01,2.1
2008-03-01,2
2008-04-01,2
2008-05-01,1.8
2008-06-01,1.8
2008-07-01,1.7
2008-08-01,1.7
2008-09-01,1.6
