DATE;REALSALARY
01-01-2006;8802.11
01-02-2006;8887.90
01-03-2006;9443.33
01-04-2006;9333.50
01-05-2006;9689.46
01-06-2006;10462.18
01-07-2006;10183.88
01-08-2006;10136.55
01-09-2006;10383.11
01-10-2006;10278.75
01-11-2006;10452.05
01-12-2006;13085.83
01-01-2007;10313.38
01-02-2007;10491.97
01-03-2007;11043.47
01-04-2007;11021.45
01-05-2007;11209.30
01-06-2007;11907.06
01-07-2007;11661.45
01-08-2007;11413.58
01-09-2007;11671.44
01-10-2007;11742.55
01-11-2007;12155.56
01-12-2007;15246.93
01-01-2008;11840.54
01-02-2008;12161.93
01-03-2008;12657.97
01-04-2008;12763.21
01-05-2008;12673.15
01-06-2008;13359.86
01-07-2008;13324.33
01-08-2008;12892.25
01-09-2008;13157.08
01-10-2008;12967.87
01-11-2008;12828.32
01-12-2008;15696.37
01-01-2009;12106.70
01-02-2009;11895.57
01-03-2009;12449.77
01-04-2009;12282.61
01-05-2009;12211.64
01-06-2009;12974.72
01-07-2009;12642.28
01-08-2009;12282.54
01-09-2009;12623.29
01-10-2009;12596.48
01-11-2009;12838.68
01-12-2009;15973.01
01-01-2010;12398.60
01-02-2010;12344.16
01-03-2010;13280.89
01-04-2010;13093.91
01-05-2010;12978.21
01-06-2010;13894.24
01-07-2010;13545.85
01-08-2010;13110.40
01-09-2010;13155.30
01-10-2010;13071.78
01-11-2010;13285.81
01-12-2010;17145.25
01-01-2011;12351.34
01-02-2011;12262.27
01-03-2011;13361.18
01-04-2011;13213.61
01-05-2011;13302.32
01-06-2011;14063.01
01-07-2011;13750.35
01-08-2011;13463.93
01-09-2011;13712.98
01-10-2011;13725.40
01-11-2011;14069.89
01-12-2011;18916.57
01-01-2012;13623.03
01-02-2012;13738.57
01-03-2012;14483.93
01-04-2012;14616.49
01-05-2012;14870.59
01-06-2012;15358.92
01-07-2012;14725.31
01-08-2012;14178.06
01-09-2012;14252.93
01-10-2012;14628.09
01-11-2012;14929.35
01-12-2012;19719.18
01-01-2013;14380.75
01-02-2013;14183.45
01-03-2013;15236.16
01-04-2013;15863.09
01-05-2013;15600.05
01-06-2013;16194.92
01-07-2013;15670.77
01-08-2013;15129.63
01-09-2013;15159.92
01-10-2013;15445.37
01-11-2013;15472.25
01-12-2013;20149.59
01-01-2014;14922.00
01-02-2014;14677.79
01-03-2014;15637.62
01-04-2014;16217.28
01-05-2014;15743.34
01-06-2014;16351.27
01-07-2014;15687.27
01-08-2014;14806.46
01-09-2014;15268.42
01-10-2014;15386.14
01-11-2014;15241.80
01-12-2014;19229.14
01-01-2015;13591.45
01-02-2015;13466.51
01-03-2015;13864.92
01-04-2015;14535.02
01-05-2015;14485.58
01-06-2015;14884.96
01-07-2015;14143.53
01-08-2015;13377.04
01-09-2015;13605.06
01-10-2015;13688.14
01-11-2015;13582.17
01-12-2015;17544.90
01-01-2016;13075.19
01-02-2016;13475.91
01-03-2016;14058.91
01-04-2016;14390.03
01-05-2016;14634.80
01-06-2016;15042.82
01-07-2016;13966.17
01-08-2016;13776.82
01-09-2016;13923.59
01-10-2016;13827.62
01-11-2016;13938.80
01-12-2016;18240.22
01-01-2017;13121.84
01-02-2017;13501.93
01-03-2017;14396.86
01-04-2017;14851.56
01-05-2017;14968.08
01-06-2017;15542.85
01-07-2017;14265.18
01-08-2017;13975.71
01-09-2017;14354.37
01-10-2017;14433.41
01-11-2017;14595.21
01-12-2017;19154.28
01-01-2018;14552.28
01-02-2018;15052.53
01-03-2018;15721.91
01-04-2018;16038.39
01-05-2018;16233.65
01-06-2018;16803.96
01-07-2018;15503.12
01-08-2018;15118.17
01-09-2018;15243.64
01-10-2018;15393.38
01-11-2018;15411.95
01-12-2018;19938.79
01-01-2019;15012.82
01-02-2019;15229.63
01-03-2019;16331.03
01-04-2019;16883.50
01-05-2019;16789.86
01-06-2019;17281.12
01-07-2019;16254.42
01-08-2019;15751.21
01-09-2019;15979.97
01-10-2019;16312.47
01-11-2019;16174.66
01-12-2019;21671.89
01-01-2020;16187.34
01-02-2020;16335.63
01-03-2020;17515.19
01-04-2020;16811.16
