DATE,RUSEPUINDXM
1994-01-01,312.88760
1994-02-01,229.42438
1994-03-01,177.62762
1994-04-01,100.25624
1994-05-01,119.05428
1994-06-01,139.95154
1994-07-01,83.86353
1994-08-01,82.39779
1994-09-01,97.43925
1994-10-01,88.98473
1994-11-01,45.36543
1994-12-01,70.38546
1995-01-01,85.99312
1995-02-01,170.02164
1995-03-01,109.73280
1995-04-01,228.19476
1995-05-01,271.79309
1995-06-01,178.89639
1995-07-01,167.54277
1995-08-01,207.60345
1995-09-01,226.57564
1995-10-01,200.45941
1995-11-01,186.38507
1995-12-01,231.32605
1996-01-01,421.65448
1996-02-01,151.10405
1996-03-01,208.09312
1996-04-01,261.94370
1996-05-01,173.50311
1996-06-01,221.42381
1996-07-01,229.80028
1996-08-01,206.95589
1996-09-01,271.25085
1996-10-01,182.88800
1996-11-01,153.86311
1996-12-01,290.28906
1997-01-01,196.84462
1997-02-01,116.49067
1997-03-01,62.81002
1997-04-01,110.09009
1997-05-01,197.98810
1997-06-01,155.92526
1997-07-01,74.80920
1997-08-01,20.71302
1997-09-01,20.92938
1997-10-01,28.42042
1997-11-01,50.00764
1997-12-01,22.71700
1998-01-01,61.16946
1998-02-01,29.65426
1998-03-01,47.47961
1998-04-01,29.50868
1998-05-01,34.80555
1998-06-01,37.61526
1998-07-01,69.81322
1998-08-01,59.35733
1998-09-01,239.31990
1998-10-01,37.66240
1998-11-01,22.18051
1998-12-01,88.52605
1999-01-01,73.61167
1999-02-01,60.10919
1999-03-01,18.03997
1999-04-01,56.74247
1999-05-01,106.01267
1999-06-01,61.29421
1999-07-01,95.16970
1999-08-01,152.34044
1999-09-01,18.92607
1999-10-01,109.19017
1999-11-01,29.15092
1999-12-01,31.09632
2000-01-01,117.12624
2000-02-01,27.02751
2000-03-01,27.27277
2000-04-01,25.90913
2000-05-01,42.97606
2000-06-01,115.94142
2000-07-01,15.77669
2000-08-01,28.98225
2000-09-01,101.02384
2000-10-01,53.26468
2000-11-01,55.50248
2000-12-01,85.66630
2001-01-01,72.29006
2001-02-01,82.59998
2001-03-01,48.35815
2001-04-01,36.21035
2001-05-01,58.21713
2001-06-01,26.45651
2001-07-01,12.39876
2001-08-01,35.79348
2001-09-01,104.17537
2001-10-01,55.45128
2001-11-01,89.90691
2001-12-01,55.70824
2002-01-01,83.79533
2002-02-01,13.26914
2002-03-01,36.32707
2002-04-01,68.06281
2002-05-01,22.09084
2002-06-01,75.04268
2002-07-01,41.62686
2002-08-01,33.14845
2002-09-01,62.54858
2002-10-01,118.15903
2002-11-01,98.44283
2002-12-01,79.59975
2003-01-01,68.20256
2003-02-01,108.11005
2003-03-01,87.96466
2003-04-01,86.38860
2003-05-01,95.07604
2003-06-01,24.11119
2003-07-01,70.33056
2003-08-01,59.18589
2003-09-01,62.63549
2003-10-01,96.27272
2003-11-01,107.18471
2003-12-01,78.41303
2004-01-01,124.42624
2004-02-01,109.14510
2004-03-01,77.43811
2004-04-01,110.59647
2004-05-01,88.85320
2004-06-01,116.62628
2004-07-01,75.10519
2004-08-01,36.51834
2004-09-01,64.54100
2004-10-01,56.45822
2004-11-01,39.24857
2004-12-01,81.47636
2005-01-01,175.24545
2005-02-01,112.56402
2005-03-01,107.54734
2005-04-01,75.75197
2005-05-01,32.71545
2005-06-01,85.24399
2005-07-01,26.12307
2005-08-01,49.51333
2005-09-01,138.84497
2005-10-01,141.33836
2005-11-01,55.57432
2005-12-01,96.36314
2006-01-01,104.82420
2006-02-01,79.35954
2006-03-01,94.51130
2006-04-01,162.16507
2006-05-01,116.80759
2006-06-01,91.25889
2006-07-01,79.23003
2006-08-01,101.62161
2006-09-01,95.02356
2006-10-01,128.98967
2006-11-01,102.03370
2006-12-01,58.93058
2007-01-01,149.06184
2007-02-01,106.78694
2007-03-01,83.08112
2007-04-01,154.73651
2007-05-01,87.80557
2007-06-01,86.86298
2007-07-01,84.86002
2007-08-01,39.61502
2007-09-01,61.48648
2007-10-01,85.83961
2007-11-01,57.53176
2007-12-01,125.64629
2008-01-01,124.26589
