<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,futures_price,<VOL>
SPFB.GOLD,D,20180103,000000,1310.0000000,1323.4000000,1310.0000000,1319.1000000,75935
SPFB.GOLD,D,20180104,000000,1318.6000000,1345.2000000,1312.0000000,1328.3000000,59265
SPFB.GOLD,D,20180105,000000,1328.1000000,1328.1000000,1317.5000000,1324.4000000,59213
SPFB.GOLD,D,20180109,000000,1324.3000000,1324.3000000,1313.2000000,1317.0000000,49051
SPFB.GOLD,D,20180110,000000,1316.6000000,1330.1000000,1312.8000000,1322.5000000,75542
SPFB.GOLD,D,20180111,000000,1322.1000000,1328.8000000,1319.7000000,1327.5000000,43648
SPFB.GOLD,D,20180112,000000,1327.5000000,1343.7000000,1322.3000000,1343.0000000,95890
SPFB.GOLD,D,20180115,000000,1343.0000000,1347.6000000,1338.9000000,1340.1000000,29998
SPFB.GOLD,D,20180116,000000,1341.0000000,1344.0000000,1335.0000000,1343.2000000,50953
SPFB.GOLD,D,20180117,000000,1342.0000000,1344.2000000,1330.6000000,1332.2000000,52521
SPFB.GOLD,D,20180118,000000,1331.7000000,1336.7000000,1325.9000000,1328.6000000,73586
SPFB.GOLD,D,20180119,000000,1330.0000000,1341.7000000,1330.0000000,1336.8000000,33700
SPFB.GOLD,D,20180122,000000,1336.0000000,1338.2000000,1330.9000000,1337.1000000,31307
SPFB.GOLD,D,20180123,000000,1337.9000000,1346.0000000,1334.3000000,1345.1000000,42304
SPFB.GOLD,D,20180124,000000,1345.9000000,1365.7000000,1345.8000000,1361.5000000,74427
SPFB.GOLD,D,20180125,000000,1362.1000000,1370.0000000,1346.5000000,1350.2000000,93986
SPFB.GOLD,D,20180126,000000,1353.9000000,1360.2000000,1350.9000000,1352.6000000,46284
SPFB.GOLD,D,20180129,000000,1351.5000000,1352.4000000,1340.4000000,1344.0000000,53549
SPFB.GOLD,D,20180130,000000,1342.6000000,1352.5000000,1336.3000000,1339.8000000,72829
SPFB.GOLD,D,20180131,000000,1340.0000000,1350.7000000,1334.9000000,1350.3000000,68224
SPFB.GOLD,D,20180201,000000,1348.7000000,1352.6000000,1339.7000000,1350.4000000,49348
SPFB.GOLD,D,20180202,000000,1350.4000000,1352.5000000,1330.1000000,1332.3000000,81052
SPFB.GOLD,D,20180205,000000,1332.8000000,1343.2000000,1331.1000000,1338.4000000,63727
SPFB.GOLD,D,20180206,000000,1341.0000000,1347.3000000,1323.5000000,1325.5000000,99291
SPFB.GOLD,D,20180207,000000,1326.7000000,1334.2000000,1315.0000000,1318.6000000,64569
SPFB.GOLD,D,20180208,000000,1318.0000000,1324.1000000,1307.4000000,1321.0000000,92824
SPFB.GOLD,D,20180209,000000,1321.1000000,1324.3000000,1300.0000000,1315.9000000,72944
SPFB.GOLD,D,20180212,000000,1315.9000000,1328.8000000,1315.9000000,1325.6000000,45545
SPFB.GOLD,D,20180213,000000,1326.7000000,1333.6000000,1325.0000000,1331.9000000,53423
SPFB.GOLD,D,20180214,000000,1332.0000000,1357.9000000,1320.0000000,1356.3000000,119566
SPFB.GOLD,D,20180215,000000,1355.2000000,1364.0000000,1350.5000000,1360.5000000,68135
SPFB.GOLD,D,20180216,000000,1361.0000000,1363.9000000,1347.1000000,1354.1000000,59007
SPFB.GOLD,D,20180219,000000,1354.1000000,1354.1000000,1347.6000000,1349.1000000,24882
SPFB.GOLD,D,20180220,000000,1348.5000000,1348.5000000,1330.5000000,1332.4000000,82478
