<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;share_price;<VOL>
PLZL;D;20180103;0;4595.0000000;4630.0000000;4428.0000000;4466.0000000;21907
PLZL;D;20180104;0;4455.0000000;4500.0000000;4433.0000000;4478.0000000;20670
PLZL;D;20180105;0;4483.0000000;4496.0000000;4420.0000000;4469.0000000;17846
PLZL;D;20180109;0;4476.0000000;4568.0000000;4464.0000000;4556.0000000;33366
PLZL;D;20180110;0;4527.0000000;4574.0000000;4411.0000000;4411.0000000;52753
PLZL;D;20180111;0;4428.0000000;4460.0000000;4357.0000000;4357.0000000;21859
PLZL;D;20180112;0;4378.0000000;4413.0000000;4278.0000000;4328.0000000;25960
PLZL;D;20180115;0;4325.0000000;4397.0000000;4094.0000000;4382.0000000;102030
PLZL;D;20180116;0;4365.0000000;4565.0000000;4365.0000000;4487.0000000;73928
PLZL;D;20180117;0;4467.0000000;4727.0000000;4467.0000000;4659.0000000;93448
PLZL;D;20180118;0;4678.0000000;4720.0000000;4452.0000000;4520.0000000;82452
PLZL;D;20180119;0;4520.0000000;4656.0000000;4328.0000000;4446.0000000;156932
PLZL;D;20180122;0;4447.0000000;4527.0000000;4383.0000000;4527.0000000;51575
PLZL;D;20180123;0;4519.0000000;4543.0000000;4410.0000000;4543.0000000;38531
PLZL;D;20180124;0;4525.0000000;4625.0000000;4507.0000000;4568.0000000;84065
PLZL;D;20180125;0;4592.0000000;4617.0000000;4521.0000000;4570.0000000;48252
PLZL;D;20180126;0;4575.0000000;4648.0000000;4500.0000000;4500.0000000;125655
PLZL;D;20180129;0;4518.0000000;4620.0000000;4450.0000000;4599.0000000;42701
PLZL;D;20180130;0;4578.0000000;4600.0000000;4523.0000000;4547.0000000;17813
PLZL;D;20180131;0;4550.0000000;4599.0000000;4527.0000000;4580.0000000;35673
PLZL;D;20180201;0;4566.0000000;4597.0000000;4505.0000000;4535.0000000;24445
PLZL;D;20180202;0;4515.0000000;4542.0000000;4500.0000000;4509.0000000;25629
PLZL;D;20180205;0;4491.0000000;4589.0000000;4476.0000000;4542.0000000;41522
