date;vodka_production
2010-01-01;5500
2010-02-01;6360
2010-03-01;8612
2010-04-01;7235
2010-05-01;6742
2010-06-01;6930
2010-07-01;6946
2010-08-01;7414
2010-09-01;8754
2010-10-01;8626
2010-11-01;9712
2010-12-01;12239
2011-01-01;4840
2011-02-01;5011
2011-03-01;6377
2011-04-01;6534
2011-05-01;6753
2011-06-01;6543
2011-07-01;5689
2011-08-01;6647
2011-09-01;7796
2011-10-01;9546
2011-11-01;9782
2011-12-01;10779
2012-01-01;4460
2012-02-01;6001
2012-03-01;6839
2012-04-01;6960
2012-05-01;8307
2012-06-01;9584
2012-07-01;4998
2012-08-01;6782
2012-09-01;8916
2012-10-01;9681
2012-11-01;11231
2012-12-01;14010
2013-01-01;3115
2013-02-01;4458
2013-03-01;5348
2013-04-01;5748
2013-05-01;5842
2013-06-01;5821
2013-07-01;5585
2013-08-01;7115
2013-09-01;7742
2013-10-01;9762
2013-11-01;11314
2013-12-01;13841
2014-01-01;2550
2014-02-01;4911
2014-03-01;4743
2014-04-01;4886
2014-05-01;5159
2014-06-01;5394
2014-07-01;6084
2014-08-01;5793
2014-09-01;7243
2014-10-01;7307
2014-11-01;7088
2014-12-01;7675
2015-01-01;2879
2015-02-01;3744
2015-03-01;4260
2015-04-01;5022
2015-05-01;4875
2015-06-01;5795
2015-07-01;5071
2015-08-01;6078
2015-09-01;6231
2015-10-01;6310
2015-11-01;6572
2015-12-01;6190
2016-01-01;2339
2016-02-01;3178
2016-03-01;4503
2016-04-01;6531
2016-05-01;6295
2016-06-01;6300
2016-07-01;5727
2016-08-01;5786
2016-09-01;6861
2016-10-01;7832
2016-11-01;9540
2016-12-01;8300
